"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 16, 2021","133.6903","142.4621","142.4621","122.0532","1.20M","-6.16%"
"Nov 15, 2021","142.4621","142.2816","146.2409","141.1113","673.79K","0.13%"
"Nov 14, 2021","142.2797","142.8570","146.0418","139.9739","578.74K","-0.40%"
"Nov 13, 2021","142.8570","143.3448","147.6280","142.1547","587.87K","-0.34%"
"Nov 12, 2021","143.3448","146.2534","148.4071","138.6233","1.17M","-2.02%"
"Nov 11, 2021","146.3066","142.2543","149.0012","139.4728","729.62K","2.85%"
"Nov 10, 2021","142.2543","150.1023","153.6973","133.8635","1.23M","-5.23%"
"Nov 09, 2021","150.1041","153.2881","154.4818","147.6152","1.01M","-2.08%"
"Nov 08, 2021","153.2881","160.3650","160.4925","150.6112","1.65M","-4.42%"
"Nov 07, 2021","160.3841","157.2292","164.0609","153.9517","1.43M","2.01%"
"Nov 06, 2021","157.2251","151.5622","165.2842","148.5240","2.72M","3.73%"
"Nov 05, 2021","151.5663","145.0827","154.2268","141.9389","2.10M","4.47%"
"Nov 04, 2021","145.0786","141.4452","163.4146","141.4452","3.97M","2.54%"
"Nov 03, 2021","141.4805","140.4337","142.3879","134.6754","1.30M","0.85%"
"Nov 02, 2021","140.2924","136.9231","143.7678","135.6095","1.40M","2.46%"
"Nov 01, 2021","136.9236","138.0719","139.0656","131.6851","1.03M","-0.83%"
"Oct 31, 2021","138.0719","146.7382","149.5653","132.6721","1.97M","-5.89%"
"Oct 30, 2021","146.7067","143.1592","156.4453","139.9201","3.57M","2.71%"
"Oct 29, 2021","142.8320","126.6012","163.6683","125.8683","6.79M","12.98%"
"Oct 28, 2021","126.4238","121.4484","129.4221","121.2944","1.10M","4.10%"
"Oct 27, 2021","121.4484","128.9809","132.4473","120.2586","1.46M","-5.67%"
"Oct 26, 2021","128.7485","131.5988","138.2064","126.7828","1.62M","-2.16%"
"Oct 25, 2021","131.5885","122.7355","141.1512","122.2694","2.66M","7.11%"
"Oct 24, 2021","122.8586","125.6662","127.7369","120.2446","772.98K","-2.23%"
"Oct 23, 2021","125.6667","130.1276","133.4792","123.6228","1.17M","-3.35%"
"Oct 22, 2021","130.0212","119.7702","133.1742","117.9289","2.07M","8.56%"
"Oct 21, 2021","119.7680","127.6516","133.8844","116.2483","1.92M","-6.18%"
